cid,ciudad,,
1,BERLIN,,
2,LUDWINGSBURG,,
3,NUEVA YORK,,
4,ONTARIO,,
5,SYDNEY,,
6,SACRAMENTO,,
7,COLOGNE,,
8,BILBAO,,
9,FOREST,,
10,TEXAS,,
11,VIÃ‘A DEL MAR,,
12,VALENCIA,,
13,SANTIAGO,,
14,BRUSELAS,,
15,BUENOS AIRES,,
16,MISLATA,,
17,AUCKLAND,,
18,MUNICH,,
19,VALPARAISO,,
20,MADRID,,
21,TORONTO,,
22,OSTEND,,
23,BARCELONA,,
24,RIO DE JANEIRO,,
25,BRASILIA,,
26,WASHINGTON DC,,
27,LOS ANGELES,,
28,FRANKFURT,,
29,WELLINGTON,,
30,LOWER HUTT,,
31,BOSTON,,
32,BOGOTA,,
33,PHILADELPHIA,,
34,SAO PAULO,,
35,HAMBURG,,
36,HAMILTON,,
37,NELSON,,
38,HANOVER,,
39,MEDELLIN,,
40,OTTAWA,,
