Evento,Recinto,Artista,Ciudad,Fecha de incio,Productora
BZRP Tour,Pabellon Max Schmeling,14,1,2020-09-05,Nachhaltige Events
Como si no importara,Arena Ludwingsburg,37,2,23-01-2021,fullevent.de
Born this way,Irving Plaza,93,3,2020-12-09,CSI DMC
El Duko2.0,Thunder Bay,1,4,29-07-2020,EventsEye
LOS APARATOS,Tarpeian Precinct Lawn,98,5,2018-12-08,YouTOOProject
Reputation,Raley Field,142,6,30-03-2016,Live Nation
WAP,E-Werk,186,7,2016-06-03,MGC
BZRP Tour,Pabellon Max Schmeling,169,1,2020-09-05,Nachhaltige Events
One Night Only,Bilbao Arena,81,8,2021-10-08,Ibolele Producciones
Dia Cero,Forest National,184,9,14-11-2018,Global Journey
CARAVANA,Don Haskins Center,156,10,2019-05-01,Event Production Company
WAP,Madison Square Garden,186,3,23-12-2018,The Imagos
Mil Rosas,Leons Centre,196,4,18-01-2018,Eventos Toronto Shaddai
Quedate,Mercedes-Benz Arena,178,1,19-01-2022,Eventveranstalter Hamburg
Lively And Supreme,Quinta Vergara,109,11,30-08-2018,G & t business group spa
Anastasia,Pabellon Fuente de San Luis,153,12,2020-04-07,Planet Events
Myrad,Teatro Municipal de Santiago,41,13,2016-03-05,Universal circus
Dolby Live,Palais 12,79,14,2016-07-06,Top Bruselas
Disney Concert,Estadio Unico Diego Armando Maradona,36,15,15-03-2016,ATOMIC FILMS
Map of the Soul,Teatro Municipal de Santiago,170,13,2020-05-12,Capsule producciones spa
A7S Show,Carrer Baix Vinalopo,131,16,2019-06-01,Live Nation
Show Forest,Radio City Music Hall,89,3,2016-11-04,Hartmann Studios
The Misery,Spark Arena,59,17,27-10-2020,Queenstown Event Company
Passionfruit,Club Blondie,8,13,18-05-2017,Producciones y eventos empire digital limitada
Concha Acústica UC 2022,Club Subterraneo,174,13,24-10-2022,Eventos mudness limitada
Fourplan Event,Olympiahalle,76,18,16-08-2016,Yataco
CLARITY,Estadio Nacional,30,13,17-08-2018,DG Medios y espectaculos s.a.
Passionfruit,Explanada Ciudad Empresarial,8,13,13-04-2020,Reverb - productora de eventos
KAWAII,SALA SANTANA,127,8,2022-06-02,Planet Events
DISCOTEKA,El Huevo,10,19,30-09-2017,Global producciones spa
Entre Nosotros,Sala La Rivera,24,20,21-12-2020,Live Nation
Como si no importara,Arena Ludwingsburg,1,2,23-01-2021,fullevent.de
Younger now,HISTORY,157,21,27-03-2017,EventsEye
The After Hours,Teatro Caupolicán,161,13,2018-08-05,Apparcel producciones limitada
Plastic Hearts,UBS Arena,157,3,23-05-2021,Los Angeles AV Production
Anastasia,Teatro Cariola,153,13,19-07-2019,G & t business group spa
CLARITY,Estadio Nacional,78,13,17-08-2018,DG Medios y espectaculos s.a.
Bigger than me,Estadio ANZ,136,5,28-07-2019,CMG Audio Visual
Alpha Eventalist,Estadio Bicentario de La Florida,100,13,15-10-2021,DG Medios y espectaculos s.a.
Beto Cuevas,Kursaal Oostende,164,22,2018-12-04,Litmind
Mystere,LAUT,102,23,2019-10-08,IndyRock
The After Hours,Teatro Coliseo,161,13,20-04-2018,Producciones oz limitada
Rio Concert,Vivo Rio,187,24,26-02-2016,Agencia 360
Frozen,Teatro Colon,103,15,2019-09-12,FMG PRODUCCIONES
Niño Blessi,SOF Q8 Toinha Brasil,27,25,2019-08-09,Urban Music
Show Forest,Radio City Music Hall,12,3,2016-11-04,Hartmann Studios
S.U.N.O,The Anthem,193,26,16-06-2016,Los Angeles AV Production
Rio Concert,Vivo Rio,15,24,26-02-2016,Agencia 360
Concha Acústica UC 2022,Club Subterraneo,193,13,24-10-2022,Eventos mudness limitada
Que oso,Youtube Theatre,169,27,22-05-2018,Los Angeles AV Production
EQILIBRIO,Festhalle,127,28,14-08-2021,Europages
Paramore,Powerstation 33,96,17,30-05-2016,manatua.nz
QueenB,Club Providencia,166,13,2019-06-08,Casa eventos
BZRP Tour,Pabellon Max Schmeling,197,1,2020-09-05,Nachhaltige Events
Flicker,SALA SANTANA,82,8,18-04-2021,IndyRock
I Aint Worried,Estadio Monumental,173,15,2019-01-12,K PRODUCCIONES S.A.
Tomorrow Never Knows,Studio The Venue,183,17,2020-07-03,Ethno Nueva Zelanda
La Ultima Mision,Estadio Rose Bowl,137,27,2017-12-08,CSI DMC
Bachata en vivo,Irving Plaza,21,3,2020-05-11,The Imagos
Perfect Specacular Paradise,Estadio Monumental,90,13,16-06-2016,Vision world producciones limitada
Five Day,Arena TSB Bank,65,29,2021-08-07,Event Management NZ
Same old love,Days Bay Pavilion,158,30,28-03-2020,manatua.nz
Lotto,Estadio Nacional,141,13,2021-10-10,Tolten eventos
Dangerous Woman,Days Bay Pavilion,192,30,2018-08-02,Ethno Nueva Zelanda
Passionfruit,Columbianhalle,8,1,2020-10-10,Europages
Twelve Carat Tour,Sala La Rivera,139,20,2022-08-07,Live Nation
Map of the Soul,Shubert Theatre,170,31,21-06-2020,The Imagos
Gowlding,Sala Apolo,119,23,2019-03-07,Live Nation
Gowlding,Salitre Magico,119,32,17-12-2022,Audio Level Eventos
DJs Apoyando a Chile,Teatro Teletón,179,13,2016-11-12,Andeschimp spa
Seize The Day,Thunder Bay,185,4,2022-08-09,EventsEye
Papi Juancho,Cirque Royal,47,14,16-07-2021,Expat
Le Reve,The Fillmore Philadelphia,102,33,28-03-2017,Live Nation
"Young, Dumb and Broke",Teatro Municipal de Santiago,72,13,16-09-2022,G & t business group spa
How do you sleep,Teatro Municipal de Santiago,55,13,25-09-2021,Time for fun (t4f)
Anastasia,Salitre Magico,153,32,2019-07-12,Ye & Ca Producciones
Sin Despertar,Warehouse Live,124,10,26-02-2020,Hartmann Studios
Ye,El Huevo,146,19,2022-08-11,G & t business group spa
BZRP Tour,Pabellon Max Schmeling,45,1,2020-09-05,Nachhaltige Events
1989,Jeunesse Arena,142,24,13-07-2018,Somosfk
Phoenix Show,Espacio Unimed,70,34,2016-08-01,Somosfk
Rio Concert,Vivo Rio,8,24,26-02-2016,Agencia 360
The E.N.D World,Air Canada Centre,144,21,2021-12-05,Eventos Toronto Shaddai
ShoNuf Lucky,Opera de Sidney,52,5,2019-10-02,Sydney WorldPride
Bigger than me,Metropol,136,1,2020-01-06,Europages
La leyenda,UBS Arena,113,3,2018-02-03,Event Production Company
Show Forest,Radio City Music Hall,145,3,2016-11-04,Hartmann Studios
A7S Show,Barclaycard Arena,131,35,19-12-2017,B+D Events
El Duko,Parque Bicentenario Cerrillos,1,13,2018-12-07,Andres gardeweg producciones e.i.r.l
Golden,La Marina de Valencia,112,12,23-03-2022,LetsGo Company
Papi Juancho,Teatro Municipal de Santiago,47,13,18-09-2020,DG Medios y espectaculos s.a.
Fruta y te,Raley Field,28,6,17-04-2017,The Imagos
Habana,Velodromo de Berlin,23,1,2018-09-10,Litmind
AgendaMusic,Sala La Rivera,123,20,20-06-2018,LetsGo Company
Ko Ko Pop,Estadio Nacional,141,15,14-01-2020,Ramasso Productora
Nobody like you,Palau Sant Jordi,117,23,26-07-2022,Live Nation
Cerca de ti,Teatro Cariola,24,13,28-01-2022,Club providencia
Tren al Sur,Estadio Bicentario de La Florida,120,13,27-11-2018,Yellow House
EteSesh,FirstOntario Centre,86,36,2019-07-07,Canada Eventos
La Ultima Vuelta,Club RBX,151,13,2016-11-12,Street machine producciones s.a.
Caminemos de la Mano,Quinta Vergara,125,11,21-07-2016,Casa eventos
CARAVANA,Carioca Club,156,34,29-07-2018,BRL Eventos
TJB,Dodger Stadium,35,27,25-06-2022,Hartmann Studios
Perfect All Experimenters,Aotea Centre,129,17,24-07-2016,Event Management NZ
Nicky Jam Show,Radio City Music Hall,9,3,28-08-2019,Live Nation
Niño Blessi,Bikini Barcelona,27,23,19-04-2020,Live Nation
Twelve Carat Tour,The Anthem,139,26,29-01-2018,AEG
Bangerz,Don Haskins Center,157,10,2018-08-12,Hartmann Studios
Umbrella Concert,Movistar Arena,85,15,2019-07-08,ATOMIC FILMS
Revelation Magic Everything,Trafalgar Centre Paru,50,37,2022-04-01,Queenstown Event Company
Drivers License Tour,ZAG Arena,36,38,17-02-2016,MGC
Big Time,"Stage Live, Kalea",12,8,2016-07-04,Planet Events
Schulz Forever,Arena Ludwingsburg,147,2,22-02-2017,B+D Events
El Ultimo Concierto,Gran Arena Monticello,32,13,19-07-2016,Sony music entertainment chile s.a.
Epic Show,Freiheitshalle,104,18,2022-03-04,B+D Events
Desesperados,Arena TSB Bank,87,29,24-09-2019,Lets Dance
Material Girl,Estadio ANZ,103,5,21-06-2016,Event Hire Sydney
Sueño Stereo,Shubert Theatre,32,31,2020-02-08,Eveerlast Productions INC.
Disney Concert,Estadio Unico Diego Armando Maradona,74,15,15-03-2016,ATOMIC FILMS
DJ Snake,Espacio Unimed,46,34,15-02-2016,Brasil Stands
DISCOTEKA,Independance Club,10,20,30/2/2021,IndyRock
Rio Concert,Vivo Rio,118,24,26-02-2016,Agencia 360
Lively And Supreme,Mercedes-Benz Arena,109,1,2020-11-09,Eventveranstalter Hamburg
El Alfa Tour,The Brooklyn Monarch,152,3,25-08-2019,Event Production Company
PlanAhead,Luna Park,155,15,2021-02-05,ESTADIUM LUNA PARK
Roads Time,Columbianhalle,54,1,2020-06-02,Europages
Beyond Wonderland,Gran Arena Monticello,88,13,29-06-2016,BDD Producciones
Paramore,Niceto Club,96,15,2017-11-01,FEG ENTRETENIMIENTOS
Maria Becerra,Teatro Municipal de Santiago,15,13,2022-10-06,Ais producciones
Tusa,Metropolitano Rosario,198,15,2020-07-11,ESPECTACULOS GALLO
DJs Apoyando a Chile,Teatro Teletón,52,13,2016-11-12,Andeschimp spa
Mami Tour,Thunder Bay,159,4,2022-09-07,EventsEye
Super Bass Tour,Warehouse Live,198,10,2022-02-04,The Imagos
Bigger than me,Teatro Colon,136,15,29-05-2021,PROSPERO PRODUCCIONES
Twelve Carat Tour,Teatro Mayor,139,32,29-05-2022,Tyg Eventos y Producciones
Michael Jackson Tribute,Cupula Multiespacio,3,13,13-11-2017,Time for fun (t4f)
AgendaMusic,Sala La Rivera,42,20,20-06-2018,LetsGo Company
Talking to the moon,Aotea Centre,68,17,24-02-2021,manatua.nz
Say you wont let go,Antel Arena,108,15,2022-08-02,PROSPERO PRODUCCIONES
Telepatia,Raley Field,138,6,2017-02-03,Eveerlast Productions INC.
Me Veras Volver,Palau Sant Jordi,32,23,2017-06-09,Live Nation
MJ Tribute,Warehouse Live,3,10,2016-12-01,AEG
AgendaMusic,Sala La Rivera,135,20,20-06-2018,LetsGo Company
Convencete,Thunder Bay,114,4,16-02-2020,EventsEye
Perfect Specacular Paradise,Sala Apolo,90,23,26-02-2016,Live Nation
Disney Concert,Estadio Unico Diego Armando Maradona,157,15,15-03-2016,ATOMIC FILMS
The Real Slim Shady,Club Subterraneo,75,13,2020-01-10,DG Medios y espectaculos s.a.
Disney Concert,Estadio Unico Diego Armando Maradona,158,15,15-03-2016,ATOMIC FILMS
La Criminal,Club Subterraneo,62,13,2019-06-11,Glovox producciones limitada
Dont start now,Teatro Gran Rex,67,15,2017-02-02,FMG PRODUCCIONES
I Aint Worried,Luna Park,173,15,15-05-2021,ESTADIUM LUNA PARK
Sub Focus,Moon Valencia,49,12,15-02-2016,Ibolele Producciones
Get Jacked,Arena TSB Bank,50,29,16-01-2017,Event Management NZ
Best Part,Chango Club,17,20,2018-11-08,Planet Events
Mami Tour,Columbianhalle,159,1,19-12-2022,Nachhaltige Events
Rio Concert,Vivo Rio,48,24,26-02-2016,Agencia 360
Kill my mind,La Madeleine,136,14,28-01-2017,Xceed
DISCOTEKA,Mercedes-Benz Arena,10,1,2016-04-10,Bierlinerin
Fourplan Event,Olympiahalle,105,18,16-08-2016,Yataco
Hips dont lie,Espacio Riesco,162,13,22-12-2017,Productora energy in motion limitada
Shivers,Lanxess Arena,84,7,2018-01-03,CK Events Germany
The Encounter,Crypto.com Arena,145,27,17-04-2022,Revelation
Everybody,Gran Arena Monticello,103,13,21-10-2016,DG Medios y espectaculos s.a.
Real Scene,Phoenix Concert Theatre,171,21,2021-11-09,Yataco
Fourplan Event,Olympiahalle,58,18,16-08-2016,Yataco
Papi Juancho,Estadio Rose Bowl,47,27,17-07-2022,Horwath Productions INC.
Shape of you,Aussie Stadium,84,5,20-04-2016,Event Hire Sydney
Super Freaky Girl,Casino de Viña del Mar,198,11,2022-01-01,Glovox producciones limitada
Belinda Comeback,E-Werk,34,7,30-01-2016,Europages
WAR,Shubert Theatre,180,31,2021-10-05,Live Nation
"Young, Dumb and Broke",Trafalgar Centre Paru,72,37,2020-09-06,Event Management NZ
Concha Acústica UC 2022,Club Subterraneo,125,13,24-10-2022,Eventos mudness limitada
El negrito ojos claros,Teatro Municipal de Valparaiso,123,19,2018-07-07,Producciones musicales massivo reccords limitada
Step by Step,City Hall el Rodeo,165,39,28-03-2016,Onlygroundmusic
DJs Apoyando a Chile,Teatro Teletón,50,13,2016-11-12,Andeschimp spa
Salimo de Noche,Palacio de las Artes,24,12,30-2-2019,LetsGo Company
Concha Acústica UC 2022,Club Subterraneo,159,13,24-10-2022,Eventos mudness limitada
Ultra Solo,Niceto Club,125,15,2021-12-11,FMG PRODUCCIONES
BZRP Tour,Pabellon Max Schmeling,117,1,2020-09-05,Nachhaltige Events
El negrito ojos claros,Hipodromo de Palermo,123,15,24-08-2017,FEG ENTRETENIMIENTOS
Epic Show,Arena TSB Bank,104,29,2018-06-05,Queenstown Event Company
RUNAWAY,Estadio ANZ,115,5,2021-07-09,Expat
S.U.N.O,Cupula Multiespacio,193,13,21-08-2018,DG Medios y espectaculos s.a.
Fourplan Event,Olympiahalle,190,18,16-08-2016,Yataco
Fine Line,Estadio Rose Bowl,112,27,2022-11-08,Live Nation
Heather,Palau Sant Jordi,116,23,2018-01-03,Live Nation
MMM Bop,HISTORY,92,21,14-05-2022,Expat
One Night Only,Movistar Arena,81,13,2019-05-04,G & t business group spa
JLo,Club Subterraneo,121,13,18-02-2018,DG Medios y espectaculos s.a.
Natural,Gran Arena Monticello,158,13,2016-07-05,Dreams - eventos
Watch out for this,Sala But,167,20,17-12-2019,Planet Events
The Joshua Tree,Luna Park,180,15,27-02-2020,COMPAÑÍA ARGENTINA DE SUEÑOS
Heather,Teatro Teletón,116,13,18-01-2021,Eventos luis maturana ortega e.i.r.l
Eventage Feasts,Luna Park,175,15,2016-09-06,ESTADIUM LUNA PARK
Ko Ko Pop,Palau Sant Jordi,141,23,20-04-2019,LetsGo Company
Mil Rosas,Mercedes-Benz Arena,196,1,29-11-2022,Eventveranstalter Hamburg
The After Hours,WIZink Center,161,20,2021-04-11,Planet Events
AgendaMusic,Sala La Rivera,51,20,20-06-2018,LetsGo Company
Fourplan Mania,Kursaal Oostende,100,22,29-04-2019,Rove.me
SongKick,SOF Q8 Toinha Brasil,188,25,2020-09-08,BRL Eventos
Disney Concert,Estadio Unico Diego Armando Maradona,134,15,15-03-2016,ATOMIC FILMS
Heartbreak Weather,SALA SANTANA,82,8,16-06-2020,LetsGo Company
Bang Bang,Warehouse Live,126,10,2021-03-02,Los Angeles AV Production
Big E Party Moment,Air Canada Centre,165,21,18-10-2020,Eventos Toronto Shaddai
Oh How,La Madeleine,80,14,2021-10-09,Xceed
How do you sleep,Teatro Municipal de Santiago,122,13,14-09-2022,Lotus producciones limitada
Concha Acústica UC 2022,Club Subterraneo,143,13,24-10-2022,Eventos mudness limitada
I Used to Think I could Fly,Salitre Magico,99,32,23-10-2019,Sinstress Eventos
FULL PIOLI,Estadio Rose Bowl,193,27,13-07-2017,Revelation
Rio Concert,Vivo Rio,134,24,26-02-2016,Agencia 360
Lali Esposito: The Show,Days Bay Pavilion,176,30,2021-03-03,Leading Event Agency
MMM Bop,Wilterm Theatre,92,27,16-08-2017,Live Nation
CLARITY,Estadio Nacional,147,13,17-08-2018,DG Medios y espectaculos s.a.
Mil Rosas,City Hall el Rodeo,196,39,2016-03-03,Animationphoenix
Dangerous Woman,Niceto Club,192,15,22-07-2021,Ramasso Productora
El amor despues del amor,Aotea Centre,94,17,2021-05-01,Lets Dance
One Vision of Queen,Teatro Gran Rex,177,15,24-07-2020,FMG PRODUCCIONES
Schulz Forever,La Marina de Valencia,147,12,22-03-2022,Live Nation
Disney Concert,Estadio Unico Diego Armando Maradona,35,15,15-03-2016,ATOMIC FILMS
R3hab live show,Velodromo de Berlin,133,1,19-09-2022,KahnEvents GmbH
Young Flex,Estadio de Futbol Atanasio Girardot,5,39,2018-04-09,Rocko Saroni Eventos
CLARITY,Estadio Nacional,128,13,17-08-2018,DG Medios y espectaculos s.a.
Rio Concert,Vivo Rio,142,24,26-02-2016,Agencia 360
Telepatia,Club Chocolate,138,13,2022-06-04,Eventos luis maturana ortega e.i.r.l
Treat you better,Moon Valencia,194,12,30-09-2019,LetsGo Company
RBD the comeback,Teatro Municipal de Valparaiso,61,19,17-02-2020,Productora de eventos moviefan limitada
La Gasolina,Estadio Santa Laura,151,13,16-12-2016,Global producciones spa
Todo Cambia,Fundo Colmito,200,11,15-12-2021,Comercial caupolican limitada
El J23,Canadian Tire Centre,143,40,2020-07-10,Mayam Producciones
One Night Only,WIZink Center,81,20,26-09-2017,Producciones Baltimore
Voyage,Studio The Venue,83,17,29-05-2020,Leading Event Agency
Born this way,Shubert Theatre,93,31,2017-08-05,Event Production Company
Get Jacked,Carrer Baix Vinalopo,50,16,14-02-2021,Producciones Baltimore
